,Columbus,New York ,Washington DC,Philadelphia ,Pittsburgh ,Detroit ,Miami ,Seattle,Los Angeles,San Francisco,Chicago,Las Vegas,Salt Lake City,Houston,Dallas,New Orleans ,Phoenix,Denver,Portland,Indianapolis,Nashville,San Diego,Albuquerque,Fairbanks
Columbus,NA,149,107,147,108,101,155,117,170,141,102,110,148,123,119,154,148,90,125,109,107,162,154,350
New York ,159,NA,121,126,87,99,81,171,111,132,69,104,128,68,71,87,100,112,113,121,40,105,114,310
Washington DC,104,114,NA,131,90,105,128,259,149,199,199,179,129,139,159,153,150,72,129,125,135,155,120,362
Philadelphia ,146,132,129,NA,164,90,84,166,124,199,137,199,187,95,172,238,93,147,162,155,130,190,164,330
Pittsburgh ,109,99,90,167,NA,131,102,303,123,249,113,131,199,290,172,170,151,81,162,105,113,152,168,328
Detroit ,99,99,104,88,129,NA,85,174,199,267,99,130,253,110,130,104,189,87,186,128,99,154,163,258
Miami ,158,79,141,87,99,83,NA,199,158,242,89,150,199,89,89,89,190,75,219,187,90,153,230,430
Seattle,115,169,249,169,299,169,199,NA,85,75,120,110,109,189,159,169,109,79,85,125,120,92,122,189
Los Angeles,166,107,147,125,125,201,164,84,NA,62,99,49,70,99,99,95,64,89,89,152,109,63,109,182
San Francisco,137,134,199,199,449,259,239,69,64,NA,162,95,155,163,88,163,117,98,94,155,134,100,130,226
Chicago,104,74,136,136,110,104,87,119,96,159,NA,89,186,90,92,85,50,64,115,126,107,82,127,264
Las Vegas,111,106,199,137,131,131,131,89,49,99,87,NA,101,71,69,72,53,55,43,88,74,52,115,224
Salt Lake City,145,130,190,199,190,249,199,109,74,159,187,99,NA,153,148,122,120,52,110,202,178,99,132,296
Houston,128,71,168,179,281,101,86,179,98,160,91,72,150,NA,102,105,117,66,109,128,127,142,166,320
Dallas,128,64,149,97,168,119,83,159,95,84,91,68,150,106,NA,86,83,55,147,122,133,85,132,215
New Orleans ,139,84,137,174,149,116,88,167,94,162,87,74,121,104,88,NA,200,123,124,138,114,177,133,388
Phoenix,164,100,164,224,198,190,184,109,64,119,48,54,122,119,81,197,NA,62,103,165,232,61,106,221
Denver,84,115,84,94,84,89,71,84,87,96,63,52,54,64,54,118,64,NA,88,131,166,68,105,213
Portland,137,114,131,143,155,199,209,68,89,89,113,43,109,108,146,122,99,84,NA,109,98,107,99,277
Indianapolis,107,119,128,155,107,134,177,123,145,153,128,82,200,128,128,137,179,129,108,NA,109,155,136,276
Nashville,111,43,136,128,111,99,93,119,109,136,106,72,177,128,128,111,227,168,98,107,NA,195,132,320
San Diego,157,104,166,178,167,141,162,89,59,99,78,53,100,149,84,179,54,64,109,157,197,NA,163,219
Albuquerque,145,108,119,159,159,159,219,122,109,132,129,113,136,168,136,139,104,108,98,139,139,167,NA,395
Fairbanks,310,300,357,311,314,244,516,168,181,225,268,225,299,315,219,385,222,215,274,280,315,217,400,NA
